,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,PC1,PC2,PC3,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship
320,0,0,0,0,2000,25.7,GD Harpur,45,Doctor of Philosophy,Male,0,320,Asia,C38,Philosophy Interpretation and,10799.35,Harpur Doctor of Philosophy,Masters Prepared,10799.35,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.65,3.9,3.87,3.85,3.77,3.87,3.85,3.7,0,0,8,3.81,9.7,GD Harpur,Asia
321,0,0,0,0,2004,24.7,GD Harpur,40,Doctor of Philosophy,Female,0,321,White,C13,Biological Sciences,48611.6,Harpur Doctor of Philosophy,Bachelors Prepared,48611.6,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.66,4,4,4,0,0,0,0,1,0.1,4,3.92,8.7,GD Harpur,White
322,0,0,0,0,2008,32,GD Watson,43,Doctor of Philosophy,Male,0,322,White,R87,Industrial and Systems Enginee,23190.05,Industrial and Systems Eng PhD,0,23190.05,0,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,2.4,GD Non-Harpur,White
323,0,0,0,0,1999,21.7,GD Harpur,42,Doctor of Philosophy,Female,0,323,Black or African American,C37,Philosophy SPEL,5354.8,Harpur Doctor of Philosophy,Masters Prepared,5354.8,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.9,3.9,4,4,4,0,0,0,0.01,6,3.97,12,GD Harpur,White
324,0,0,0,0,2008,33.3,GD Harpur,45,Doctor of Philosophy,Male,0,324,Unknown,C38,Philosophy Interpretation and,27821.6,Harpur Doctor of Philosophy,Bachelors Prepared,27821.6,0,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,3.3,GD Harpur,White
325,0,0,0,0,2002,22.7,GD Harpur,40,Doctor of Philosophy,Female,0,325,Unknown,C22,Economics,4850.75,Harpur Doctor of Philosophy,Masters Prepared,4850.75,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.15,3.43,3.9,3.43,3.65,3.7,0,0,0,0.08,6,3.54,7.2,GD Harpur,White
326,4185,4185,3330,3700,2010,22.7,GD Harpur,32,Doctor of Philosophy,Female,1,326,White,C12,Biological Sciences EEB,6202.47,Harpur Doctor of Philosophy,Bachelors Prepared,33375.47,27173,1,0.762854351,-1.279353847,0.134574921,4,3.7,4,4,3.65,4,0,0,0,0,6,3.89,8,GD Harpur,White
327,0,0,0,0,2003,37.7,GD Harpur,54,Doctor of Philosophy,Male,0,327,Africa,C15,Chemistry,6555.1,Harpur Doctor of Philosophy,Bachelors Prepared,6555.1,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.85,3.83,3.2,0,0,0,0,0,0,-0.33,3,3.63,6,GD Harpur,Africa
328,0,0,0,0,2003,23.7,GD Harpur,40,Doctor of Philosophy,Male,1,328,Asia,C52,Sociology,12446.95,Harpur Doctor of Philosophy,Masters Prepared,12998.95,552,1,3.79E-16,-5.79E-16,-1.21E-15,3.95,4,4,4,4,4,0,0,0,0.01,6,3.99,7.7,GD Harpur,Asia
329,0,0,0,0,2003,28.7,GD Harpur,45,Doctor of Philosophy,Male,0,329,Africa,C15,Chemistry,14272.6,Harpur Doctor of Philosophy,Bachelors Prepared,14272.6,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.65,4,3.66,0,0,0,0,0,0,0,3,3.77,7,GD Harpur,Africa
330,0,0,0,0,2003,25.7,GD Harpur,42,Doctor of Philosophy,Male,0,330,White,C45,Behavioral Neuroscience,29874.67,Harpur Doctor of Philosophy,Bachelors Prepared,29874.67,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.48,3.6,3.35,3.8,4,3.35,0,0,0,0.03,6,3.6,7.7,GD Harpur,White
331,0,0,0,0,2003,20.7,GD Harpur,37,Doctor of Philosophy,Female,0,331,White,C47,Clinical Psychology,7269.2,Harpur Doctor of Philosophy,Bachelors Prepared,7269.2,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.91,3.91,4,3.72,4,3.93,4,3.53,0,-0.03,8,3.88,6,GD Harpur,White
332,0,0,0,0,2002,21.7,GD Harpur,39,Doctor of Philosophy,Female,0,332,Unknown,C46,Cognitive Psychology,2306.35,Harpur Doctor of Philosophy,Bachelors Prepared,2306.35,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.44,3.75,3.65,3.66,3.13,4,4,0,1,0.06,7,3.66,7.2,GD Harpur,White
333,0,0,0,0,2003,24.7,GD Harpur,41,Doctor of Philosophy,Male,0,333,White,C23,English,3165,Harpur Doctor of Philosophy,Bachelors Prepared,3165,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.85,4,4,4,0,0,0,0,0,0.04,4,3.96,6.7,GD Harpur,White
334,0,0,0,0,2002,26.7,GD Harpur,44,Doctor of Philosophy,Male,0,334,Asia,C38,Philosophy Interpretation and,7371.95,Harpur Doctor of Philosophy,Bachelors Prepared,7371.95,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.9,3.85,0,0,0,0,0,0,-0.08,3,3.92,8.2,GD Harpur,Asia
335,0,0,0,0,1999,27.7,GD Harpur,48,Doctor of Philosophy,Male,0,335,Africa,C01,Anthropology,8312.06,Harpur Doctor of Philosophy,Masters Prepared,8312.06,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.33,3.9,4,3.15,3,3.85,2.7,0,1,-0.11,7,3.42,10,GD Harpur,Africa
336,0,0,0,0,2001,21.7,GD Harpur,40,Doctor of Philosophy,Female,0,336,White,C45,Behavioral Neuroscience,11438.64,Harpur Doctor of Philosophy,Bachelors Prepared,11438.64,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.32,3.72,3.44,3,3.53,0,0,0,1,-0.03,5,3.4,8.7,GD Harpur,White
337,0,0,0,0,2001,53.7,GD Harpur,72,Doctor of Philosophy,Female,0,337,Europe,C29,History,10625.9,Harpur Doctor of Philosophy,Bachelors Prepared,10625.9,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.82,3.36,3.8,4,0,0,0,0,0,0.1,4,3.75,10.2,GD Harpur,White
338,0,0,0,0,2001,21.7,GD Harpur,40,Doctor of Philosophy,Male,0,338,White,C01,Anthropology,30416.65,Harpur Doctor of Philosophy,Masters Prepared,30416.65,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.8,3.9,4,3.76,4,4,0,0,1,0.03,6,3.91,8.7,GD Harpur,White
339,0,0,0,0,1999,39.7,GD Harpur,60,Doctor of Philosophy,Female,0,339,White,C23,English,31708.8,Harpur Doctor of Philosophy,Masters Prepared,31708.8,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.5,4,4,3.9,4,4,3.85,4,0,0.03,8,3.91,12.2,GD Harpur,White
340,0,0,0,0,2000,23.7,GD Harpur,43,Doctor of Philosophy,Female,0,340,White,C29,History,25362.31,Harpur Doctor of Philosophy,Masters Prepared,25362.31,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.47,4,3.9,3.85,3.8,4,0,0,0,0.06,6,3.84,11.7,GD Harpur,White
341,0,0,0,0,2002,35.7,GD Harpur,53,Doctor of Philosophy,Female,1,341,White,C01,Anthropology,69004,Harpur Doctor of Philosophy,Masters Prepared,69353,349,1,3.79E-16,-5.79E-16,-1.21E-15,3.33,3.8,4,4,4,4,4,4,0,0.07,8,3.89,8.7,GD Harpur,White
342,0,0,0,0,2001,24.7,GD Watson,43,Doctor of Philosophy,Male,0,342,China,R92,Computer Science,11084.15,Computer Science PhD,0,11084.15,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.68,4,4,4,4,0,0,0,0,0.06,5,3.94,10.2,GD Non-Harpur,China
343,0,0,0,0,2011,33,GD Harpur,41,Doctor of Philosophy,Male,0,343,White,C23,English,85309.45,Harpur Doctor of Philosophy,Masters Prepared,85309.45,0,1,-0.297989138,0.388392487,1.030698018,3.85,4,4,4,0,0,0,0,0,0.04,4,3.96,3.4,GD Harpur,White
344,0,0,0,0,2005,21.7,GD Harpur,36,Doctor of Philosophy,Female,0,344,White,C52,Sociology,48255.45,Harpur Doctor of Philosophy,Masters Prepared,48255.45,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.8,4,4,0,0,0,0,0,0.02,4,3.95,13.2,GD Harpur,White
345,0,0,0,0,2001,51.7,GD Harpur,70,Doctor of Philosophy,Male,0,345,White,C38,Philosophy Interpretation and,14918.2,Harpur Doctor of Philosophy,Bachelors Prepared,14918.2,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.57,3.77,4,0,0,0,0,0,0,0.21,3,3.78,12.7,GD Harpur,White
346,0,0,0,0,2001,29.7,GD Harpur,48,Doctor of Philosophy,Female,0,346,White,C01,Anthropology,24258.6,Harpur Doctor of Philosophy,Bachelors Prepared,24258.6,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.57,3.28,3.7,4,4,3.7,3.7,0,1,0.05,7,3.71,9.2,GD Harpur,White
347,0,0,0,0,2009,40,GD Grad School,50,Doctor of Philosophy,Male,0,347,Asian,H21,Materials Science and Engineer,66659.38,Graduate School PhD,0,66659.38,0,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,1.8,GD Non-Harpur,White
348,0,0,0,0,2012,45.7,GD Harpur,53,Doctor of Philosophy,Male,0,348,Hispanic or Latino,C52,Sociology,3536.35,Harpur Doctor of Philosophy,Bachelors Prepared,3536.35,0,1,0.069282508,-0.090301297,-0.239637405,0,0,0,0,0,0,0,0,0,0,0,0,0.2,GD Harpur,White
349,0,0,0,0,2009,38,GD Harpur,48,Doctor of Philosophy,Female,0,349,Black or African American,C52,Sociology,8213.15,Harpur Doctor of Philosophy,Masters Prepared,8213.15,0,1,0.178622922,-0.232813187,-0.617828867,0,0,0,0,0,0,0,0,0,0,0,0,1.8,GD Harpur,White
350,0,0,0,0,2000,21.7,GD Harpur,41,Doctor of Philosophy,Male,0,350,Unknown,C01,Anthropology,2722.4,Harpur Doctor of Philosophy,Masters Prepared,2722.4,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.9,4,4,4,4,4,3.7,0,-0.02,8,3.95,9,GD Harpur,White
351,0,0,0,0,2007,53,GD Nursing,65,Doctor of Philosophy,Female,0,351,White,D99,Nursing,18365.45,Nursing PhD,0,18365.45,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,0,0,0,0,0,0,0,3,4,8,GD Non-Harpur,White
352,0,0,0,0,2002,42.7,GD Education,60,Doctor of Education,Female,0,352,Black or African American,E99,Educational Theory and Practic,66552.62,Education EDD,0,66552.62,0,1,3.79E-16,-5.79E-16,-1.21E-15,3,2.7,3.57,3.56,3.5,3.38,3.67,2.9,0,0.04,8,3.28,10,GD Non-Harpur,White
353,0,0,0,0,1998,40.7,GD Harpur,62,Doctor of Philosophy,Female,1,353,White,C52,Sociology,7493.65,Harpur Doctor of Philosophy,Masters Prepared,10285.65,2792,1,3.79E-16,-5.79E-16,-1.21E-15,3.57,3.85,3.67,4,0,0,0,0,1,0.11,4,3.77,13.2,GD Harpur,White
354,0,0,0,0,2008,51,GD Nursing,62,Doctor of Philosophy,Female,0,354,White,D99,Nursing,12714.7,Nursing PhD,0,12714.7,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,0,0,0,0,0,0,0,0,2,4,4.4,GD Non-Harpur,White
355,0,0,0,0,2000,30.7,GD Harpur,50,Doctor of Philosophy,Male,0,355,White,C01,Anthropology,12178.02,Harpur Doctor of Philosophy,Masters Prepared,12178.02,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,3.9,3.65,3.85,4,4,4,0,1,0.03,7,3.9,10,GD Harpur,White
356,0,0,0,0,2012,61.3,GD Nursing,69,Doctor of Nursing Practice,Female,0,356,Hispanic or Latino,D76,XGerontolog Clin Nurse Special,30108.25,Nursing DNP,0,30108.25,0,1,-0.503586497,0.656363562,1.741827262,4,4,3.7,3,2.7,3.5,0,0,1,-0.2,6,3.48,3,GD Non-Harpur,White
357,0,0,0,0,2001,22.7,GD Harpur,41,Doctor of Philosophy,Male,0,357,China,C22,Economics,14826.1,Harpur Doctor of Philosophy,Masters Prepared,14826.1,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.65,3.53,3.78,3.08,3.93,4,3.7,0,0,0.04,7,3.67,10.7,GD Harpur,China
358,0,3141,3141,3141,2009,23.3,GD Harpur,34,Doctor of Philosophy,Male,1,358,Hispanic or Latino,C14,Biological Sciences,8135.8,Harpur Doctor of Philosophy,Masters Prepared,21439.8,13304,1,3.79E-16,-5.79E-16,-1.21E-15,3.77,4,4,4,4,0,0,0,0,0.05,5,3.95,3,GD Harpur,White
359,0,0,0,0,1999,42.7,GD Education,63,Doctor of Education,Female,0,359,White,E99,Educational Theory and Practic,6735.15,Education EDD,0,6735.15,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.7,3.8,3.5,4,4,3,0,0,0,-0.07,6,3.67,14.7,GD Non-Harpur,White
360,0,0,0,0,2001,22.7,GD Harpur,41,Doctor of Philosophy,Female,0,360,White,C34,Mathematics,3782.6,Harpur Doctor of Philosophy,Masters Prepared,3782.6,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.33,3.5,3.43,2.5,3.8,3.8,3.3,0,0,0.03,7,3.38,9,GD Harpur,White
361,0,0,0,0,2001,28.7,GD Harpur,47,Doctor of Philosophy,Female,0,361,White,C23,English,3300.1,Harpur Doctor of Philosophy,Masters Prepared,3300.1,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,4,4,4,4,4,4,4,0,0.01,8,3.99,8.2,GD Harpur,White
362,0,0,0,0,1997,38.7,GD Harpur,61,Doctor of Philosophy,Female,0,362,White,C09,Art History,2909.25,Harpur Doctor of Philosophy,Bachelors Prepared,2909.25,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.43,3.57,3.85,0,0,0,0,0,0,0.21,3,3.62,12.2,GD Harpur,White
363,0,0,0,0,2003,26.7,GD Harpur,43,Doctor of Philosophy,Female,0,363,White,C29,History,6166.15,Harpur Doctor of Philosophy,Masters Prepared,6166.15,0,1,0.184230122,-0.240121489,-0.637223301,3.7,4,4,3.8,4,4,3.3,0,0,-0.04,7,3.83,8.2,GD Harpur,White
364,0,0,0,0,2000,24.7,GD Harpur,44,Doctor of Philosophy,Male,0,364,Hispanic or Latino,C47,Clinical Psychology,39235.4,Harpur Doctor of Philosophy,Bachelors Prepared,39235.4,0,1,3.79E-16,-5.79E-16,-1.21E-15,2.83,3.33,3.32,3.95,3.53,3.85,4,4,0,0.15,8,3.6,9,GD Harpur,White
365,0,0,0,0,2006,29.7,GD Management,43,Doctor of Philosophy,Male,1,365,India,B99,Management PHD,28010.15,Management PhD,0,33530.15,5520,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,3.93,3.93,4,0,0,0,1,-0.01,5,3.97,4.7,GD Non-Harpur,White
366,0,0,0,0,2004,25.7,GD Harpur,41,Doctor of Philosophy,Female,0,366,Europe,C22,Economics,25432,Harpur Doctor of Philosophy,Masters Prepared,25432,0,1,3.79E-16,-5.79E-16,-1.21E-15,3,3.23,3.57,3.7,3.5,3.7,4,0,0,0.14,7,3.53,8,GD Harpur,White
367,0,0,0,0,2004,27.7,GD Harpur,43,Doctor of Philosophy,Male,1,367,White,C29,History,13516.47,Harpur Doctor of Philosophy,Bachelors Prepared,14214.47,698,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,0,0,0,0,0,0,4,4,10.2,GD Harpur,White
368,0,0,0,0,2006,25.7,GD Harpur,39,Doctor of Philosophy,Male,1,368,White,C37,Philosophy SPEL,12440.76,Harpur Doctor of Philosophy,Bachelors Prepared,12789.76,349,1,3.79E-16,-5.79E-16,-1.21E-15,3.78,3.91,0,0,0,0,0,0,0,0.13,2,3.85,5,GD Harpur,White
369,0,0,0,0,2005,23.7,GD Harpur,38,Doctor of Philosophy,Female,0,369,White,C23,English,11674.15,Harpur Doctor of Philosophy,Bachelors Prepared,11674.15,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.85,4,4,4,0,0,0,0,0,0.04,4,3.96,5.2,GD Harpur,White
370,0,0,0,0,2005,21.7,GD Management,36,Doctor of Philosophy,Male,0,370,White,B99,Management PHD,22808.3,Management PhD,0,22808.3,0,1,0.290766936,-0.378979228,-1.005717546,3.93,3.9,3.93,3.67,3.8,4,0,0,1,-0.01,6,3.87,5,GD Non-Harpur,White
371,0,0,0,0,2006,22.7,GD Harpur,36,Doctor of Philosophy,Male,1,371,China,C34,Mathematics,44279.74,Harpur Doctor of Philosophy,Bachelors Prepared,54215.74,9936,1,30.96113394,16.33924966,6.599911257,4,4,4,4,4,4,4,4,0,0,8,4,9.2,GD Harpur,China
372,0,0,0,349,2004,21.7,GD Watson,37,Doctor of Philosophy,Male,1,372,Hispanic or Latino,R92,Computer Science,21571.86,Computer Science PhD,0,25061.86,3490,1,3.79E-16,-5.79E-16,-1.21E-15,3.57,3.9,4,4,0,0,0,0,1,0.14,4,3.87,8.2,GD Non-Harpur,White
373,0,0,0,0,2006,25.7,GD Harpur,39,Doctor of Philosophy,Male,1,373,Africa,C15,Chemistry,18961.5,Harpur Doctor of Philosophy,Bachelors Prepared,24481.5,5520,1,3.79E-16,-5.79E-16,-1.21E-15,3.35,3.42,3.36,0,0,0,0,0,0,0,3,3.38,3.7,GD Harpur,Africa
374,0,0,552,4968,2006,30.7,GD Harpur,44,Doctor of Philosophy,Female,1,374,Other International Students,C15,Chemistry,12664.95,Harpur Doctor of Philosophy,Bachelors Prepared,18184.95,5520,1,3.79E-16,-5.79E-16,-1.21E-15,3.15,3.26,3.7,0,0,0,0,0,1,0.27,3,3.37,5.2,GD Harpur,White
375,0,0,0,0,2005,23.7,GD Harpur,38,Doctor of Philosophy,Female,0,375,White,C47,Clinical Psychology,42590.5,Harpur Doctor of Philosophy,Bachelors Prepared,42590.5,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.56,3.24,3.83,3.94,4,4,0,0,0,0.13,6,3.76,4,GD Harpur,White
376,0,0,0,0,2005,22.7,GD Harpur,37,Doctor of Philosophy,Male,0,376,White,C47,Clinical Psychology,49526.2,Harpur Doctor of Philosophy,Bachelors Prepared,49526.2,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.89,3.9,3.8,3.28,3.6,3,4,0,-0.07,8,3.68,5,GD Harpur,White
377,0,0,349,3141,2006,21.7,GD Harpur,35,Doctor of Philosophy,Male,1,377,Asian,C15,Chemistry,16704.6,Harpur Doctor of Philosophy,Bachelors Prepared,20543.6,3839,1,3.79E-16,-5.79E-16,-1.21E-15,3.85,3.72,2.7,4,0,0,0,0,0,-0.06,4,3.57,5,GD Harpur,White
378,0,0,0,0,2005,23.7,GD Harpur,38,Doctor of Philosophy,Female,1,378,India,C43,Political Science,22512.1,Harpur Doctor of Philosophy,Bachelors Prepared,24190.1,1678,1,3.79E-16,-5.79E-16,-1.21E-15,3.7,3.9,4,4,3.85,0,0,0,0,0.04,5,3.89,7,GD Harpur,White
379,0,0,0,0,2006,26.7,GD Watson,40,Doctor of Philosophy,Male,1,379,China,R96,Electrical Engineering,18218.8,Electrical Engineering PhD,0,24290.8,6072,1,3.79E-16,-5.79E-16,-1.21E-15,3.35,4,4,0,0,0,0,0,0,0.32,3,3.78,4,GD Non-Harpur,China
380,0,0,0,0,2002,48.7,GD Education,66,Doctor of Education,Male,0,380,White,E99,Educational Theory and Practic,12242.7,Education EDD,0,12242.7,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,4,3.7,4,4,0,-0.01,8,3.96,13.2,GD Non-Harpur,White
381,0,0,0,0,2006,21.7,GD Harpur,35,Doctor of Philosophy,Female,1,381,White,C33,Comparative Literature,15122.5,Harpur Doctor of Philosophy,Bachelors Prepared,15820.5,698,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,4,4,4,0,0,0,0,0,0.03,4,3.98,4.7,GD Harpur,White
382,0,0,0,0,2005,26.7,GD Harpur,41,Doctor of Philosophy,Male,1,382,Other International Students,C22,Economics,28130.65,Harpur Doctor of Philosophy,Bachelors Prepared,28682.65,552,1,3.79E-16,-5.79E-16,-1.21E-15,3.67,3.3,3.53,3.85,3.35,4,0,0,1,0.06,6,3.62,5,GD Harpur,White
383,0,0,0,0,2006,24.7,GD Harpur,38,Doctor of Philosophy,Male,1,383,White,C23,English,17915.05,Harpur Doctor of Philosophy,Masters Prepared,18613.05,698,1,3.79E-16,-5.79E-16,-1.21E-15,3.85,3.85,4,4,0,0,0,0,0,0.06,4,3.92,5.7,GD Harpur,White
384,0,0,0,0,2004,23.7,GD Harpur,39,Doctor of Philosophy,Male,1,384,White,C23,English,29240.3,Harpur Doctor of Philosophy,Masters Prepared,32730.3,3490,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,3.85,4,3.85,4,0,0,-0.01,7,3.96,8.2,GD Harpur,White
385,0,0,0,0,2004,26.7,GD Harpur,42,Doctor of Philosophy,Male,0,385,White,C09,Art History,51276.58,Harpur Doctor of Philosophy,Bachelors Prepared,51276.58,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,0,0,0,0,0,0,0,3,4,7.2,GD Harpur,White
386,0,0,0,0,2004,21.7,GD Harpur,37,Doctor of Philosophy,Female,0,386,White,C29,History,16931.45,Harpur Doctor of Philosophy,Masters Prepared,16931.45,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.7,3.65,3.9,3.74,4,3.93,0,0,0,0.06,6,3.82,11.7,GD Harpur,White
387,0,0,0,0,2006,27.7,GD Harpur,41,Doctor of Philosophy,Female,0,387,Unknown,C37,Philosophy SPEL,5819.7,Harpur Doctor of Philosophy,Bachelors Prepared,5819.7,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.91,3.91,4,4,0,0,0,0,0,0.04,4,3.95,3.7,GD Harpur,White
388,0,0,0,349,2005,30.7,GD Harpur,45,Doctor of Philosophy,Male,1,388,White,C29,History,8663.85,Harpur Doctor of Philosophy,Masters Prepared,12153.85,3490,1,3.79E-16,-5.79E-16,-1.21E-15,3.88,4,4,3.9,4,0,0,0,0,0.01,5,3.96,6,GD Harpur,White
389,0,0,0,0,2007,21.7,GD Harpur,34,Doctor of Philosophy,Male,1,389,White,C29,History,26872,Harpur Doctor of Philosophy,Bachelors Prepared,35721,8849,1,3.79E-16,-5.79E-16,-1.21E-15,3.67,3.9,4,3.9,3.88,4,0,0,0,0.04,6,3.89,7,GD Harpur,White
390,0,0,0,0,2007,23.7,GD Harpur,36,Doctor of Philosophy,Male,1,390,White,C43,Political Science,47742.41,Harpur Doctor of Philosophy,Masters Prepared,56506.41,8764,1,3.79E-16,-5.79E-16,-1.21E-15,3.8,4,4,3.9,4,0,0,0,0,0.03,5,3.94,5,GD Harpur,White
391,0,0,0,0,2004,26.7,GD Harpur,42,Doctor of Philosophy,Female,0,391,Africa,C15,Chemistry,15418.05,Harpur Doctor of Philosophy,Bachelors Prepared,15418.05,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.3,3.83,0,0,0,0,0,0,0,0.53,2,3.56,5,GD Harpur,Africa
392,0,0,0,0,2005,21.7,GD Harpur,36,Doctor of Philosophy,Male,0,392,White,C15,Chemistry,9825.2,Harpur Doctor of Philosophy,Bachelors Prepared,9825.2,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.85,3.9,4,4,0,0,0,0,0,0.05,4,3.94,4,GD Harpur,White
393,0,0,0,0,2000,22.7,GD Harpur,42,Doctor of Philosophy,Male,0,393,Asian,C33,Comparative Literature,30055.8,Harpur Doctor of Philosophy,Masters Prepared,30055.8,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.67,3.85,3.65,3.7,3.5,3.7,3.35,3.3,0,-0.06,8,3.59,16.2,GD Harpur,White
394,0,0,0,0,2004,29.7,GD Watson,45,Doctor of Philosophy,Male,1,394,China,R96,Electrical Engineering,38105.69,Electrical Engineering PhD,0,38737.69,632,1,3.79E-16,-5.79E-16,-1.21E-15,3.85,3.67,3.5,4,3.7,0,0,0,0,0,5,3.74,8.2,GD Non-Harpur,China
395,0,0,0,0,2004,32.7,GD Harpur,48,Doctor of Philosophy,Female,1,395,Africa,C38,Philosophy Interpretation and,23775.24,Harpur Doctor of Philosophy,Masters Prepared,24407.24,632,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,4,4,0,0,0,0,0,0,0.05,3,3.97,9.2,GD Harpur,Africa
396,0,0,0,0,2005,45.7,GD Harpur,60,Doctor of Philosophy,Female,0,396,Africa,C38,Philosophy Interpretation and,8622.35,Harpur Doctor of Philosophy,Masters Prepared,8622.35,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.7,3.9,3.67,0,0,0,0,0,0,-0.02,3,3.76,7.7,GD Harpur,Africa
397,0,0,0,0,2004,27.7,GD Harpur,43,Doctor of Philosophy,Female,0,397,Asia,C33,Comparative Literature,15236.1,Harpur Doctor of Philosophy,Bachelors Prepared,15236.1,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.87,4,3.9,4,0,0,0,0,0,0.03,4,3.94,5.7,GD Harpur,Asia
398,0,0,0,0,2001,24.7,GD Harpur,43,Doctor of Philosophy,Female,0,398,Europe,C33,Comparative Literature,36908.8,Harpur Doctor of Philosophy,Masters Prepared,36908.8,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.85,3.85,4,4,3.7,4,0,0,1,0.01,6,3.9,16,GD Harpur,White
399,0,0,0,0,2004,29.7,GD Harpur,45,Doctor of Philosophy,Female,0,399,White,C23,English,5010.6,Harpur Doctor of Philosophy,Bachelors Prepared,5010.6,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.65,4,3.85,4,0,0,0,0,0,0.09,4,3.88,8.2,GD Harpur,White
400,0,0,0,0,2005,30.7,GD Harpur,45,Doctor of Philosophy,Female,0,400,White,C23,English,10326.25,Harpur Doctor of Philosophy,Bachelors Prepared,10326.25,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,0,0,0,0,0,0,4,4,4.2,GD Harpur,White
401,0,0,0,0,2005,21.7,GD Harpur,36,Doctor of Philosophy,Female,0,401,White,C34,Mathematics,18920.5,Harpur Doctor of Philosophy,Bachelors Prepared,18920.5,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.23,3.7,3,4,4,4,4,3.91,0,0.11,8,3.73,8,GD Harpur,White
402,0,0,0,0,2004,23.7,GD Harpur,39,Doctor of Philosophy,Female,0,402,White,C47,Clinical Psychology,14256.55,Harpur Doctor of Philosophy,Bachelors Prepared,14256.55,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.83,4,3.9,4,4,4,3.43,0,-0.04,8,3.89,6,GD Harpur,White
403,552,552,0,0,2005,24.7,GD Harpur,39,Doctor of Philosophy,Male,1,403,Africa,C15,Chemistry,2707.55,Harpur Doctor of Philosophy,Bachelors Prepared,3811.55,1104,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.94,4,4,0,0,0,0,0,0.01,4,3.98,5.2,GD Harpur,Africa
404,0,0,0,0,2005,23.7,GD Harpur,38,Doctor of Philosophy,Male,1,404,White,C22,Economics,14143.5,Harpur Doctor of Philosophy,Bachelors Prepared,14492.5,349,1,3.79E-16,-5.79E-16,-1.21E-15,3.77,4,3.8,3.5,4,4,0,0,0,0.02,6,3.84,5,GD Harpur,White
